电影名称,导演,主演,评分,评价人数,quote,pic
时空恋旅人,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森,8.8,789648人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,8.8,862316人评价,和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
消失的爱人,大卫·芬奇 David Fincher,本·阿弗莱克,8.7,1070148人评价,年度最佳date movie。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
无人知晓,是枝裕和 Hirokazu Koreeda,柳乐优弥,9.1,371149人评价,我的平常生活就是他人的幸福。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
倩女幽魂,程小东 Siu-Tung Ching,张国荣,8.8,833864人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918554634.jpg
傲慢与偏见,乔·怀特 Joe Wright,凯拉·奈特莉,8.7,929726人评价,爱是摈弃傲慢与偏见之后的曙光。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
花样年华,王家卫 Kar Wai Wong,张曼玉,8.8,802007人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918312477.jpg
新世界,朴勋政 Hoon-jung Park,李政宰,8.9,525409人评价,要做就做得狠一点，这样才能活下去。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
玩具总动员3,李·昂克里奇 Lee Unkrich,汤姆·汉克斯,8.9,590799人评价,跨度十五年的欢乐与泪水。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
完美的世界,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳,9.1,359267人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德,8.9,566927人评价,惠及一生的美丽。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
阳光灿烂的日子,姜文 Wen Jiang,夏雨,8.8,694070人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
色，戒,李安 Ang Lee,梁朝伟,8.7,957815人评价,假戏真情，爱欲深海,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
小森林 夏秋篇,森淳一 Junichi Mori,桥本爱,9.0,472341人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232317770.jpg
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,8.8,768281人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图,8.7,1019473人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺,9.0,430966人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
侧耳倾听,近藤喜文 Yoshifumi Kondo,本名阳子,8.9,519400人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖,9.2,307414人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg
九品芝麻官,王晶 Jing Wong,周星驰,8.8,791693人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫,8.8,821763人评价,沉醉在电影的情感和视听氛围中无法自拔。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯,8.8,690107人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯,8.8,640441人评价,有时候幸福需要等一等。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2181698213.jpg
釜山行,延尚昊 Sang-ho Yeon,孔刘,8.6,1346917人评价,揭露人性的丧尸题材力作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,8.7,1044548人评价,Mr. I Don't Care其实也有Care的时候。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
小森林 冬春篇,森淳一 Junichi Mori,桥本爱,9.0,419710人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg
喜宴,李安 Ang Lee,赵文瑄,9.0,430116人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg
萤火之森,大森贵弘 Takahiro Omori,佐仓绫音,8.8,609220人评价,触不到的恋人。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
告白,中岛哲也 Tetsuya Nakashima,松隆子,8.8,742275人评价,没有一人完全善，也没有一人完全恶。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
玛丽和麦克斯,亚当·艾略特 Adam Elliot,托妮·科莱特,9.0,469572人评价,你是我最好的朋友，你是我唯一的朋友 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2923412445.jpg
七武士,黑泽明 Akira Kurosawa,三船敏郎,9.3,234768人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹,8.6,1513603人评价,写给影迷，动漫迷和游戏迷的一封情书。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
模仿游戏,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇,8.8,718677人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2922986728.jpg
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯,9.0,355212人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
大鱼,蒂姆·波顿 Tim Burton,伊万·麦克格雷格,8.8,625869人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,8.7,1139469人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.jpg
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,梁朝伟,8.7,716719人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg
血战钢锯岭,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德,8.7,858164人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华,9.5,178999人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
你的名字。,新海诚 Makoto Shinkai,神木隆之介,8.5,1589583人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2910701461.jpg
我是山姆,杰茜·尼尔森 Jessie Nelson,Sean,9.0,375787人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
机器人之梦,巴勃罗·贝格尔 Pablo Berger,伊万·拉班达,9.1,432809人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2928203369.jpg
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,沈恩京,8.8,637611人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
恐怖直播,金秉祐 Byeong-woo Kim,河正宇,8.7,727025人评价,恐怖分子的“秋菊打官司”。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
黑客帝国3：矩阵革命,,,8.8,496491人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg
小丑,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯,8.7,1123880人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg
三块广告牌,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德,8.7,918393人评价,怼天怼地，你走后，她与世界为敌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.jpg
谍影重重3,保罗·格林格拉斯 Paul Greengrass,马特·达蒙,8.9,470008人评价,像吃了苏打饼一样干脆的电影。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
电锯惊魂,詹姆斯·温 James Wan,雷·沃纳尔,8.7,611728人评价,真相就在眼前。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg
末路狂花,雷德利·斯科特 Ridley Scott,吉娜·戴维斯,9.0,344611人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg
高山下的花环,谢晋 Jin Xie,吕晓禾,9.5,157640人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg
无间道2,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,陈冠希,8.8,565584人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳,8.8,505083人评价,Jared Leto的腿比女人还美！,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
疯狂原始人,,,8.7,919917人评价,老少皆宜，这就是好莱坞动画的魅力。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯,8.9,387426人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
爱在午夜降临前,理查德·林克莱特 Richard Linklater,伊桑·霍克,8.9,472225人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
疯狂的石头,宁浩 Hao Ning,郭涛,8.6,924343人评价,中国版《两杆大烟枪》。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,9.1,267980人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉,8.9,395348人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg
海街日记,是枝裕和 Hirokazu Koreeda,绫濑遥,8.8,519966人评价,是枝裕和的家庭习作。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg
风之谷,宫崎骏 Hayao Miyazaki,岛本须美,8.9,393106人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
上帝之城,,,9.0,332962人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
心迷宫,忻钰坤 Yukun Xin,霍卫民,8.7,616124人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2926020289.jpg
英雄本色,吴宇森 John Woo,周润发,8.6,605240人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯,8.7,667929人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
纵横四海,吴宇森 John Woo,周润发,8.8,472961人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg
无敌破坏王,瑞奇·莫尔 Rich Moore,约翰·C·赖利,8.7,611194人评价,迪士尼和皮克斯拿错剧本的产物。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
卢旺达饭店,特瑞·乔治 Terry George,唐·钱德尔,8.9,366616人评价,当这个世界闭上双眼，他却敞开了怀抱。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
东京教父,今敏 Satoshi Kon,江守彻,9.0,290356人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg
小偷家族,是枝裕和 Hirokazu Koreeda,中川雅也,8.7,894222人评价,我们组成了家。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
牯岭街少年杀人事件,杨德昌 Edward Yang,张震,8.9,368146人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治,8.5,987947人评价,不要企图在重复中寻找已经失去的爱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
冰川时代,,,8.7,685080人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
魔女宅急便,宫崎骏 Hayao Miyazaki,高山南,8.7,523649人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
芙蓉镇,谢晋 Jin Xie,刘晓庆,9.3,189220人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575337180.jpg
忠犬八公物语,神山征二郎 Seijirô Kôyama,仲代达矢,9.2,218341人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg
岁月神偷,罗启锐 Alex Law,吴君如,8.7,612218人评价,岁月流逝，来日可追。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提,8.7,516784人评价,始于荒诞，止于更荒诞。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2919686972.jpg
遗愿清单,罗伯·莱纳 Rob Reiner,杰克·尼科尔森,8.7,537330人评价,用剩余不多的时间，去燃烧整个生命。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg
大佛普拉斯,黄信尧 Hsin-yao Huang,庄益增,8.7,552812人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg
源代码,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔,8.6,924370人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
花束般的恋爱,土井裕泰 Nobuhiro Doi,菅田将晖,8.6,824483人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,汤姆·哈迪,8.7,617666人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg
白日梦想家,本·斯蒂勒 Ben Stiller,本·斯蒂勒,8.6,645036人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893896472.jpg
你看起来好像很好吃,藤森雅也 Masaya Fujimori,山口胜平,8.9,375262人评价,感情不分食草或者食肉。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
可可西里,陆川 Chuan Lu,多布杰,8.9,345839人评价,坚硬的信仰。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,8.6,806262人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
爱乐之城,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林,8.4,1108155人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929224846.jpg
城市之光,查理·卓别林 Charles Chaplin,查理·卓别林,9.3,172548人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,拉米·马雷克,8.6,689058人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒,8.6,689955人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915975989.jpg
东邪西毒,王家卫 Kar Wai Wong,张国荣,8.6,634796人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
青蛇,徐克 Hark Tsui,张曼玉,8.6,600478人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2923862788.jpg
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,丹尼尔·雷德克里夫,8.6,694496人评价,最忠于原著的一部。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456984.jpg
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特,8.7,561061人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格,8.8,385157人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
大红灯笼高高挂,张艺谋 Yimou Zhang,巩俐,8.8,370648人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼,8.6,846158人评价,黑暗之美。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
新龙门客栈,李惠民 Raymond Lee,张曼玉,8.7,508637人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
初恋这件小事,,,8.5,1050933人评价,黑小鸭速效美白记。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙,8.7,501730人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
千钧一发,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克,8.8,349641人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792423963.jpg
崖上的波妞,宫崎骏 Hayao Miyazaki,奈良柚莉爱,8.6,574595人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg
雨人,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼,8.7,442680人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg
虎口脱险,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯,8.9,295751人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
哈利·波特与凤凰社,大卫·叶茨 David Yates,丹尼尔·雷德克里夫,8.6,694250人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456924.jpg
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼,8.6,682960人评价,小成本大魅力。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
罗生门,黑泽明 Akira Kurosawa,三船敏郎,8.8,357818人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克,8.6,651400人评价,我们都有权利不与自己的过去和解。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林,8.5,747164人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
真爱至上,理查德·柯蒂斯 Richard Curtis,休·格兰特,8.5,807854人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
火星救援,雷德利·斯科特 Ridley Scott,马特·达蒙,8.5,830935人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264592493.jpg
黑客帝国2：重装上阵,,,8.7,454928人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg
步履不停,是枝裕和 Hirokazu Koreeda,阿部宽,8.8,327306人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱,8.6,600211人评价,世界不完美，爱会有奇迹。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,8.5,826937人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151245053.jpg
千年女优,今敏 Satoshi Kon,庄司美代子,8.8,317562人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg
战争之王,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇,8.7,414952人评价,做一颗让别人需要你的棋子。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg
谍影重重2,保罗·格林格拉斯 Paul Greengrass,马特·达蒙,8.7,399228人评价,谁说王家卫镜头很晃？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
蜘蛛侠：平行宇宙,,,8.6,755949人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg
攻壳机动队,押井守 Mamoru Oshii,田中敦子,9.0,217489人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2921045013.jpg
血钻,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥,8.7,421393人评价,每个美丽事物背后都是滴血的现实。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽,8.8,310341人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
小姐,朴赞郁 Chan-wook Park,金敏喜,8.5,573892人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.jpg
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森,8.9,271391人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374067318.jpg
血观音,杨雅喆 Ya-che Yang,惠英红,8.6,558130人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505008756.jpg
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森,8.7,399648人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
